Ref,Val,Package,PosX,PosY,Rot,Side
"SW2","BOOT","SW_SPST_TS-1088-xR020",58.500000,-89.000000,0.000000,top
"U1","TPD2EUSB30DRTR","Texas_DRT-3",40.000000,-25.000000,0.000000,top
"U2","TPS62162DSGR","Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",60.500000,-26.000000,0.000000,top
"U3","ESP32-S3-MINI-1-N8","ESP32-S2-MINI-1",40.000000,-99.000000,180.000000,top
"U4","DRV8231ADSGR","Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",17.000000,-45.000000,0.000000,top
"U5","DRV8231ADSGR","Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",17.000000,-54.000000,0.000000,top
"U6","DRV8231ADSGR","Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",63.000000,-45.000000,0.000000,top
"U7","TMAG5253BA2IQDMRR","Texas_X2SON-4-1EP_1.1x1.4mm_P0.5mm_EP0.8x0.6mm",17.000000,-41.500000,0.000000,top
"U8","TMAG5253BA2IQDMRR","Texas_X2SON-4-1EP_1.1x1.4mm_P0.5mm_EP0.8x0.6mm",24.000000,-60.000000,0.000000,top
"U9","TMAG5253BA2IQDMRR","Texas_X2SON-4-1EP_1.1x1.4mm_P0.5mm_EP0.8x0.6mm",63.000000,-41.500000,0.000000,top
"U10","ADS7038IRTER","WQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm",50.500000,-46.000000,0.000000,top
"U11","TUSB320LAIRWBR","Texas_X2QFN-12_1.6x1.6mm_P0.4mm",53.000000,-25.000000,0.000000,top
"U12","TPS259470LRPWR","Texas_RPW0010A",23.250000,-25.000000,0.000000,top
"U13","TPS259470LRPWR","Texas_RPW0010A",61.000000,-57.000000,0.000000,top
"U14","SN74LVC2G04DCKR","SOT-363_SC-70-6",24.250000,-45.500000,0.000000,top
"U15","SN74LVC1G123DCUR","VSSOP-8_2.3x2mm_P0.5mm",58.000000,-101.000000,0.000000,top
"U16","SN74LVC08APWR","TSSOP-14_4.4x5mm_P0.65mm",16.000000,-89.000000,0.000000,top
"U17","SN74LVC08APWR","TSSOP-14_4.4x5mm_P0.65mm",16.000000,-97.000000,0.000000,top
"U18","SN74LVC08APWR","TSSOP-14_4.4x5mm_P0.65mm",58.000000,-95.000000,0.000000,top
"U19","TLV9001IDBVR","SOT-23-5",26.000000,-34.000000,180.000000,top
"U20","TPD2E2U06DCKR","SOT-323_SC-70",51.700000,-19.500000,0.000000,top
"U25","SN74LVC125APWR","TSSOP-14_4.4x5mm_P0.65mm",51.750000,-57.000000,90.000000,top
"U28","TPS22919DCKR","SOT-363_SC-70-6",22.000000,-40.500000,90.000000,top
"U29","SN74LVC125APWR","TSSOP-14_4.4x5mm_P0.65mm",26.000000,-40.250000,90.000000,top
"U32","ICM-42688-P","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",44.500000,-83.750000,0.000000,top
"U33","TPS7A2450DBVR","SOT-23-5",48.000000,-18.500000,90.000000,top
"U34","SN74LV1T34DBVR","SOT-23-5",65.500000,-18.500000,90.000000,top
"U35","PMW3360DM-T2QU","PixArt_PMW3360DM_T2QU",40.500000,-72.500000,-90.000000,top
"U36","TLV75519PDBVR","SOT-23-5",28.000000,-65.000000,180.000000,top
"U37","SN74LVC125APWR","TSSOP-14_4.4x5mm_P0.65mm",40.500000,-57.000000,0.000000,top
"U38","TPS22918DBVR","SOT-23-6",28.250000,-73.000000,0.000000,top
"U39","SN74LVC1G125DBVR","SOT-23-5",33.500000,-55.600000,0.000000,top
