Comment,Designator,Footprint,LCSC Part #,MPN,Quantity
1uF/50V,C62,Capacitor_SMD:C_0603_1608Metric,C15849,CL10A105KB8NNNC,1
ENCODER_8P,J7,Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,C160407,SM08B-SRSS-TB(LF)(SN),1
MA735GGU-P,U27,MagMouse:MPS_UTQFN14_2x2,C17233427,MA735GGU-P,1
