name,peak_rail_V,max_brake_response_us,peak_brake_current_A,peak_resistor_bank_W,resistor_bank_energy_J,average_regeneration_W,energy_balance_relative_error,peak_timestep_delta_V,energy_timestep_relative_delta,below_6p5V,response_within_10us
minimum_0.45us_pulse,5.989998899281423,0.5527728782863447,0.5084025546835361,3.0370596019027642,0.002101293946519152,0.5815025544847926,1.3500607444169978e-05,0.0005663608198585024,5.9384279065741096e-05,True,True
minimum_0.45us_repeated,5.989998899281423,0.5702622200946805,0.5084025546835361,3.0370596019027642,0.004202583635133936,0.3578474739659966,9.714572156023967e-06,0.0005663608198585024,3.393725669123336e-06,True,True
minimum_0.45us_unplug,5.989998899281423,0.5527728782863447,0.5084025546835361,3.0370596019027642,0.002101293946519152,0.5815025544847926,1.3500607444169978e-05,0.0005663608198585024,5.9384279065741096e-05,True,True
minimum_5us_pulse,6.02805026497211,5.119527016042179,0.5116321732279843,3.075767898013384,0.002108087487259411,0.582397027662481,7.101855080109787e-06,0.0004835725812606384,0.0011647721932882607,True,True
minimum_5us_repeated,6.028060347660077,5.119527016042179,0.5116330289984787,3.0757781872553585,0.004216299494476439,0.35839870477935687,7.856938707963297e-06,0.000473489893294321,0.0010474128896209526,True,True
minimum_5us_unplug,6.02805026497211,5.119527016042179,0.5116321732279843,3.075767898013384,0.002108087487259411,0.582397027662481,7.101855080109787e-06,0.0004835725812606384,0.0011647721932882607,True,True
minimum_10us_pulse,6.069817748447203,10.102758673320679,0.5151771981367512,3.1185386593903925,0.0021373013987160665,0.5841357261910122,4.939197644790995e-06,0.00010563018386822165,3.900708627407093e-05,True,False
minimum_10us_repeated,6.0698180603994185,10.102758673320679,0.5151772246137682,3.1185389799387546,0.004274594575593031,0.35946820793154377,5.235471730914104e-06,0.0004387877554101749,1.94252921383036e-05,True,False
minimum_10us_unplug,6.069817748447203,10.102758673320679,0.5151771981367512,3.1185386593903925,0.0021373013987160665,0.5841357261910122,4.939197644790995e-06,0.00010563018386822165,3.900708627407093e-05,True,False
nominal_0.45us_pulse,5.977990850604459,0.5771293601912648,0.5073833687493176,3.02489512388002,0.001416414242470915,0.5669181448052079,8.758282117288812e-07,7.86018290366286e-06,3.2524646607709155e-06,True,True
nominal_0.45us_repeated,5.97799087722184,0.5786936011359378,0.507383371008474,3.0248951508170916,0.003498678177283809,0.35415424018545083,3.4424945131485e-07,2.1287954670157205e-06,6.543813561692603e-07,True,True
nominal_0.45us_unplug,5.977990850604459,0.5771293601912648,0.5073833687493176,3.02489512388002,0.001416414242470915,0.5669181448052079,8.758282117288812e-07,7.86018290366286e-06,3.2524646607709155e-06,True,True
nominal_5us_pulse,5.9864758830736164,5.127896171265621,0.5081035378606024,3.0334881609409114,0.0014311476626438623,0.567391282068921,5.61526558926568e-07,2.857426795888074e-05,3.8380746425240615e-05,True,True
nominal_5us_repeated,5.986479592155523,5.127896171265621,0.5081038526697949,3.0334919199001904,0.0035130020056422066,0.35423415029355504,2.7109496749933e-06,2.486518605238075e-05,1.0087631419882656e-05,True,True
nominal_5us_unplug,5.9864758830736164,5.127896171265621,0.5081035378606024,3.0334881609409114,0.0014311476626438623,0.567391282068921,5.61526558926568e-07,2.857426795888074e-05,3.8380746425240615e-05,True,True
nominal_10us_pulse,5.995785398596681,10.127692335135368,0.5088936851635275,3.0429301978919563,0.0014472332439976383,0.5679062899407323,2.6312284939287507e-06,2.687645223264923e-05,1.5179928583759635e-05,True,False
nominal_10us_repeated,5.995789858655532,10.127692335135368,0.5088940637120635,3.0429347249561878,0.0035282552057583987,0.3542876383477447,4.08454586767142e-06,2.788155557897909e-05,1.294246689250716e-05,True,False
nominal_10us_unplug,5.995785398596681,10.127692335135368,0.5088936851635275,3.0429301978919563,0.0014472332439976383,0.5679062899407323,2.6312284939287507e-06,2.687645223264923e-05,1.5179928583759635e-05,True,False
brake_disabled,13.266602057420174,,1.3266739952473955e-11,2.0680750703571817e-21,2.3629265785302978e-24,1.4658205783155476,4.0328264952700486e-07,9.191809784425686e-07,1.9848073171153236e-21,False,False
excess_regeneration,10.630104946938282,0.552679718737693,0.9022326385111425,9.564778874438643,0.008476052180029168,3.522281237178952,3.4475779808371076e-07,0.0001638909991328319,8.16527627114901e-05,False,True
resistance_stress,6.069637220825888,10.102758673320679,0.48942766768744816,2.955317864416269,0.0021333907302546716,0.5847495523402843,1.1121341165452238e-05,0.0006030273443107248,7.249717660762995e-06,True,False
threshold_high,6.1524264661873955,10.222705571324509,0.49610341218299364,3.0364881729634297,0.002141376919283278,0.5916326519249635,1.1110855885873727e-05,0.00038741481344040096,5.695254827115757e-05,True,False
threshold_low,5.988257218386129,10.204273213616863,0.48286555806846987,2.8766009781947597,0.0021254063613348056,0.5776946833314016,4.227621613883553e-06,0.00036761709377497453,5.1304694379730326e-05,True,False
threshold_ramp,6.217782450181065,0.5612923639130782,0.5277357367323938,3.2724338419376693,0.007437797776301137,0.0,2.36144500172457e-07,1.7052702716569001e-07,1.0994526374106315e-05,True,True
