Designator,Mid X,Mid Y,Rotation,Layer
R35,20.100000mm,-26.500000mm,90.000000,top
R36,55.500000mm,-52.500000mm,90.000000,top
R37,57.500000mm,-52.500000mm,90.000000,top
R38,59.500000mm,-53.500000mm,90.000000,top
R39,63.500000mm,-54.000000mm,90.000000,top
R40,68.500000mm,-54.000000mm,90.000000,top
R41,63.500000mm,-58.000000mm,90.000000,top
R42,66.000000mm,-53.100000mm,0.000000,top
R43,66.000000mm,-57.400000mm,0.000000,top
R44,21.000000mm,-29.000000mm,0.000000,top
R45,57.000000mm,-60.750000mm,90.000000,top
R46,62.300000mm,-103.500000mm,0.000000,top
R47,25.000000mm,-86.000000mm,0.000000,top
R48,28.500000mm,-86.000000mm,0.000000,top
R49,52.000000mm,-94.000000mm,90.000000,top
R50,12.500000mm,-102.000000mm,0.000000,top
R51,16.000000mm,-102.000000mm,0.000000,top
R52,19.500000mm,-102.000000mm,0.000000,top
R53,53.000000mm,-98.500000mm,0.000000,top
R54,62.500000mm,-98.500000mm,0.000000,top
R55,53.500000mm,-86.500000mm,0.000000,top
R56,26.450000mm,-25.150000mm,0.000000,top
R57,29.200000mm,-24.650000mm,90.000000,top
R58,32.200000mm,-24.650000mm,0.000000,top
R59,28.000000mm,-27.250000mm,0.000000,top
R60,30.500000mm,-27.750000mm,270.000000,top
R61,32.250000mm,-29.500000mm,270.000000,top
R62,22.500000mm,-31.500000mm,90.000000,top
R63,32.500000mm,-36.000000mm,90.000000,top
R64,49.000000mm,-40.500000mm,0.000000,top
R65,56.000000mm,-37.000000mm,90.000000,top
R66,56.000000mm,-45.000000mm,90.000000,top
R67,48.000000mm,-58.000000mm,90.000000,top
R68,57.000000mm,-57.000000mm,0.000000,top
R69,17.000000mm,-73.000000mm,0.000000,top
R70,52.500000mm,-100.000000mm,180.000000,top
R71,53.000000mm,-37.000000mm,90.000000,top
R72,28.750000mm,-81.750000mm,90.000000,top
R73,26.000000mm,-81.000000mm,0.000000,top
R74,27.000000mm,-83.500000mm,90.000000,top
R75,34.000000mm,-83.500000mm,90.000000,top
R76,37.000000mm,-87.500000mm,180.000000,top
R77,37.000000mm,-85.000000mm,180.000000,top
R78,43.000000mm,-87.000000mm,90.000000,top
R79,45.000000mm,-87.000000mm,90.000000,top
R80,47.000000mm,-87.000000mm,90.000000,top
R99,33.000000mm,-23.000000mm,0.000000,top
R101,49.250000mm,-63.750000mm,0.000000,top
R110,14.500000mm,-39.750000mm,0.000000,top
R125,21.500000mm,-37.500000mm,0.000000,top
R126,50.750000mm,-85.250000mm,90.000000,top
R127,33.750000mm,-86.000000mm,0.000000,top
R128,50.500000mm,-24.750000mm,90.000000,top
R129,47.750000mm,-25.500000mm,90.000000,top
R130,47.000000mm,-29.500000mm,90.000000,top
R131,32.200000mm,-59.000000mm,90.000000,top
R132,25.350000mm,-73.450000mm,90.000000,top
R133,32.600000mm,-65.800000mm,90.000000,top
R134,32.600000mm,-69.100000mm,90.000000,top
R135,32.600000mm,-72.400000mm,90.000000,top
R136,32.600000mm,-62.500000mm,90.000000,top
R141,64.000000mm,-64.000000mm,90.000000,top
R142,66.500000mm,-64.000000mm,90.000000,top
R143,69.000000mm,-64.000000mm,90.000000,top
SW1,58.500000mm,-84.500000mm,0.000000,top
